Param Val,ticks,fibrosis-score,alv-count,final-thy1n,final-thy1p,Setup Commands
3.499,1095.0,1.0,0.10548071034905082,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.19215506715506717,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.1334560515416475,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.03879047037263286,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,2.0,0.2950068712780577,2.0,148.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.1628689402049243,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.12080024434941967,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.05009928211394532,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,2.0,0.25019210081450743,23.0,127.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,2.0,0.2373869038491029,9.0,141.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.09681859895992659,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
2.261,1095.0,2.0,0.44189952664528936,55.0,95.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,1.0,0.13628698451632684,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,2.0,0.2106392764065614,72.0,78.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,2.0,0.21145038167938932,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,2.0,0.3187452180566182,24.0,126.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,1.0,0.042745518614983914,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,1.0,0.03425076452599388,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,1.0,0.02299202942979767,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,1.0,0.07395448954489545,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,1.0,0.04771371769383698,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,1.0,0.11773723746742297,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,1.0,0.2022092666462105,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,1.0,0.047955733169382106,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,2.0,0.379746835443038,40.0,110.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,1.0,0.1388336139598959,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,2.0,0.2891750996626802,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,2.0,0.4561938138046625,1.0,149.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
2.261,1095.0,1.0,0.09806629834254144,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 2.261]"
